ID,Sensor Name,Timestamp,Converted Value
124b002e845f31,NO2,31/07/2024 10:30:53,3500
124b002281ff46,H2S,31/07/2024 10:30:34,1900
124b002e846087,CO2,31/07/2024 10:32:00,200000
124b002e845f4d,Unknown Sensor,31/07/2024 10:29:24,-65
124b002f40ce97,NH3,31/07/2024 10:29:08,3000
124b002f40ce97,NH3,31/07/2024 10:34:08,3000
124b002e845f4d,Unknown Sensor,31/07/2024 10:34:24,-65
124b002281ff46,H2S,31/07/2024 10:35:34,1800
124b002e845f31,NO2,31/07/2024 10:35:53,3500
124b002e846087,CO2,31/07/2024 10:37:00,200000
124b002f40ce97,NH3,31/07/2024 10:39:08,3200
124b002e845f4d,Unknown Sensor,31/07/2024 10:39:24,-65
124b002e845f31,NO2,31/07/2024 10:40:53,3400
124b002281ff46,H2S,31/07/2024 10:40:34,1800
124b002e846087,CO2,31/07/2024 10:42:00,200000
124b002f40ce97,NH3,31/07/2024 10:44:08,3000
124b002e845f4d,Unknown Sensor,31/07/2024 10:44:24,-65
124b002281ff46,H2S,31/07/2024 10:45:34,1800
124b002e845f31,NO2,31/07/2024 10:45:53,3400
124b002e846087,CO2,31/07/2024 10:47:00,200000
124b002f40ce97,NH3,31/07/2024 10:49:08,3100
124b002e845f4d,Unknown Sensor,31/07/2024 10:49:24,-65
124b002281ff46,H2S,31/07/2024 10:50:34,1800
124b002e845f31,NO2,31/07/2024 10:50:53,3400
124b002e846087,CO2,31/07/2024 10:52:00,200000
124b002f40ce97,NH3,31/07/2024 10:54:08,2900
124b002e845f4d,Unknown Sensor,31/07/2024 10:54:24,-65
124b002281ff46,H2S,31/07/2024 10:55:34,1700
124b002e845f31,NO2,31/07/2024 10:55:53,3400
124b002e846087,CO2,31/07/2024 10:57:00,200000
124b002f40ce97,NH3,31/07/2024 10:59:08,3000
124b002e845f4d,Unknown Sensor,31/07/2024 10:59:24,-66
124b002281ff46,H2S,31/07/2024 11:00:34,1800
124b002e845f31,NO2,31/07/2024 11:00:53,3400
124b002e846087,CO2,31/07/2024 11:02:00,200000
124b002f40ce97,NH3,31/07/2024 11:04:08,3000
124b002e845f4d,Unknown Sensor,31/07/2024 11:04:24,-67
124b002e845f31,NO2,31/07/2024 11:05:53,3400
124b002281ff46,H2S,31/07/2024 11:05:34,1700
124b002e846087,CO2,31/07/2024 11:07:00,200000
124b002f40ce97,NH3,31/07/2024 11:09:08,2900
124b002e845f4d,Unknown Sensor,31/07/2024 11:09:24,-67
124b002281ff46,H2S,31/07/2024 11:10:34,1800
124b002e845f31,NO2,31/07/2024 11:10:53,3400
